30,"HW 1",11,100,2,40.0,1
31,"HW 2",11,100,1,40.00,1
32,"Exam 1",12,100,2,59.50,1
33,"Exam 2",12,100,1,10.50,1
34,"Midterm project",13,100,2,30.0,1
35,"Final project",13,100,1,40.0,1
36,"HW 1",14,100,2,70.0,1
37,"Exam 1",15,100,1,40.0,1
38,"Exam 2",15,100,2,30.0,1
39,"Midterm project",16,100,1,50.0,1
40,"HW 1",17,100,2,20.0,1
41,"Final project",16,100,1,30.0,1
42,"HW 2",17,100,2,60.0,1
43,"HW 3",11,100,1,20.0,1
44,"Exam 3",12,100,2,30.0,1
45,"Group project",13,100,1,30.0,1
46,"HW 2",14,100,2,30.0,1
47,"Exam 3",15,100,1,30.0,1
48,"Group project",16,100,2,20.0,1
49,"HW 3",17,100,1,20.0,1
